clause_text,clause_type,source,contract_type,source_split,dataset_origin
"1. Demise and Description Landlord hereby leases to Tenant, and Tenant accepts, the commercial unit described in Exhibit A together with non-exclusive rights over common accessways. The leasehold estate includes only the areas expressly identified and excludes the roof, structure and service rooms unless otherwise stated.",Lease Grant,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
2. Initial Term The initial term is five years beginning on the commencement date recorded in the delivery certificate. Tenant may exercise one renewal option for an additional three-year term by giving not less than nine months' prior written notice and provided no uncured event of default exists.,Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"3. Base Rent Tenant shall pay annual base rent in equal monthly installments in advance without deduction, setoff or demand. Base rent increases on each anniversary by the percentage or fixed amount stated in the rent schedule.",Payment / Rent,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"4. Additional Rent Tenant shall pay as additional rent its proportionate share of operating expenses, common-area maintenance charges, real estate taxes and insurance costs allocated to the building. Landlord shall provide an annual reconciliation with reasonable supporting detail.",Insurance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
5. Permitted Use Tenant may use the premises solely for the operation of a professional services office and for no other purpose without Landlord's prior written approval. Tenant shall obtain all licenses and shall comply with laws applicable to its specific business operations.,Use of Premises,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"6. Delivery and Condition Landlord shall deliver possession in broom-clean condition with base building systems serving the premises operational. Except for express Landlord work, Tenant accepts the premises in their existing condition after completing its own inspection.",Possession / Surrender,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"7. Tenant Improvements Tenant may construct approved improvements only in accordance with plans reviewed by Landlord and all governmental requirements. Alterations affecting structure, exterior appearance, building systems or life-safety equipment require specific written consent and qualified contractors.",Alterations / Improvements,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"8. Repairs Tenant shall maintain the interior, non-structural components, fixtures and equipment exclusively serving the premises. Landlord shall maintain the foundation, roof, exterior walls and common building systems, except for damage caused by Tenant or its contractors.",Repairs / Maintenance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"9. Compliance with Laws Each party shall comply with laws applicable to its obligations. Tenant is responsible for occupancy permits and business-specific accessibility requirements triggered by Tenant's use or alterations, while Landlord remains responsible for base-building compliance not caused by Tenant.",Alterations / Improvements,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"10. Insurance Tenant shall maintain commercial general liability, property, workers' compensation and business interruption insurance in commercially reasonable amounts. Landlord and its property manager shall be named as additional insureds where customary, and certificates shall be delivered before occupancy.",Insurance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"11. Indemnity Tenant shall indemnify and hold harmless Landlord from third-party claims arising from Tenant's negligence, willful misconduct, business operations or breach, except to the extent caused by Landlord's negligence or willful misconduct. Landlord provides a reciprocal indemnity for claims arising from its own misconduct.",Liability / Indemnity,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"12. Assignment Tenant shall not assign the lease, sublet all or any portion, license occupancy, or transfer a controlling ownership interest without Landlord's prior written consent. A permitted transfer does not release Tenant unless Landlord expressly agrees in writing.",Assignment / Subletting,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"13. Utilities Tenant shall contract and pay for separately metered utilities and telecommunications. Shared utility costs may be allocated based on submetering, usage estimates or rentable area, provided the allocation method is applied consistently.",Taxes / Utilities,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"14. Damage and Casualty If a casualty materially impairs use of the premises, rent shall abate proportionately during restoration. Either party may terminate if restoration cannot reasonably be completed within the outside restoration period stated in a written architect's estimate.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"15. Eminent Domain If all or a material part of the premises is taken by governmental authority, either party may terminate. Awards for Landlord's property interest belong to Landlord, while Tenant may pursue a separate claim for relocation costs and trade fixtures where legally permitted.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"16. Events of Default Events of default include failure to pay rent after required notice, failure to perform a material covenant after any applicable cure period, abandonment, insolvency events to the extent enforceable, or an unauthorized transfer.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"17. Remedies Following an uncured default, Landlord may terminate possession, recover sums due, re-enter as permitted by law, and pursue damages subject to the duty to mitigate where applicable. Remedies are cumulative but no remedy permits an unlawful forfeiture.",Liability / Indemnity,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"18. Surrender and Holdover At expiration, Tenant shall surrender vacant possession, remove movable trade fixtures, repair removal damage and return access credentials. A holdover accepted by Landlord creates only a month-to-month tenancy at the stated holdover rent unless the parties sign a renewal.",Possession / Surrender,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"19. Notices Formal notices shall be delivered to the addresses stated in the lease by personal delivery, nationally recognized overnight courier, or certified mail. Operational communications by email do not constitute formal notice unless expressly acknowledged.",Notice,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"20. Dispute Resolution Before filing suit, senior representatives shall meet in good faith to attempt resolution. The parties may agree to mediation, but either party may seek emergency injunctive relief or pursue claims in a court having jurisdiction over the premises.",Dispute Resolution,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"21. Environmental Matters Tenant shall not generate, release or store hazardous substances except ordinary office products used in lawful quantities. Tenant shall promptly report any spill and remediate contamination caused by its operations.",Use of Premises,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
