clause_text,risk_level
"The tenant shall pay rent on the first day of each month.",Low
"The parties agree to maintain accurate records of payments.",Low
"The agreement shall begin on the effective date written above.",Low
"The landlord shall provide access to the premises during normal business hours.",Low
"The tenant may use the premises only for lawful purposes.",Low
"The parties shall communicate notices in writing.",Low
"The agreement may be renewed by mutual written consent.",Low
"The tenant shall keep the property clean and in good condition.",Low
"The landlord shall provide basic maintenance as required.",Low
"The parties agree to cooperate in good faith.",Low
"The tenant shall notify the landlord of any damage to the property.",Low
"The lease shall remain valid for the period stated in this agreement.",Low
"The parties shall sign this agreement in duplicate.",Low
"The tenant shall provide identification documents before signing.",Low
"The landlord shall deliver possession of the premises on the agreed date.",Low
"The tenant shall use the property for residential purposes only.",Low
"The schedule attached to this agreement describes the premises.",Low
"The agreement records the names and addresses of both parties.",Low
"The parties may update contact information by written notice.",Low
"The tenant shall maintain ordinary cleanliness of the premises.",Low
"The tenant shall not make structural changes without written consent.",Medium
"Either party may terminate this agreement with thirty days written notice.",Medium
"The tenant shall maintain confidentiality of information received under this agreement.",Medium
"The tenant shall be responsible for late payment charges if rent is not paid on time.",Medium
"The tenant shall obtain written approval before assigning this agreement.",Medium
"Disputes shall be resolved through arbitration before legal proceedings.",Medium
"The landlord may inspect the premises after giving reasonable notice.",Medium
"The tenant shall comply with all applicable laws and regulations.",Medium
"The agreement may be terminated if either party breaches a material term.",Medium
"The tenant shall pay interest on overdue payments.",Medium
"The landlord may charge additional fees for late payment.",Medium
"The tenant shall be liable for damages caused by negligence.",Medium
"The tenant shall not sublet the premises without written permission.",Medium
"The tenant shall repair damage caused by misuse of the premises.",Medium
"The tenant shall return the premises in good condition at the end of the term.",Medium
"The landlord may deduct unpaid rent from the security deposit.",Medium
"The tenant shall follow building rules and community regulations.",Medium
"The parties shall attempt mediation before filing any legal claim.",Medium
"The tenant must give written notice before vacating the premises.",Medium
"The landlord may terminate the lease if rent remains unpaid after notice.",Medium
"The tenant shall indemnify the landlord against all claims and losses.",High
"The landlord may terminate this agreement without prior notice.",High
"The tenant shall pay a penalty for each day of delay.",High
"The tenant waives all rights to dispute charges.",High
"The landlord shall not be liable for any damages under any circumstances.",High
"The tenant shall be responsible for all legal costs regardless of fault.",High
"The landlord may change payment terms at any time without consent.",High
"The tenant agrees to unlimited liability for any claim.",High
"The tenant shall indemnify and hold harmless the landlord from all claims.",High
"The agreement includes a non-compete restriction after termination.",High
"The tenant shall pay liquidated damages upon any breach.",High
"The landlord may seize tenant property for unpaid rent.",High
"The tenant cannot terminate the agreement under any condition.",High
"The landlord may impose penalties without written notice.",High
"The tenant waives the right to challenge any decision made by the landlord.",High
"The landlord may enter the premises at any time without notice.",High
"The tenant shall be liable for indirect and consequential damages.",High
"The tenant shall pay all attorney fees even if the landlord is at fault.",High
"The landlord may remove tenant property without court approval.",High
"The tenant accepts all risks without limitation.",High
"The tenant shall defend, indemnify, and hold harmless the landlord from any legal action.",High
"The landlord may increase rent at any time without written agreement.",High
"The tenant shall forfeit the deposit for any minor breach.",High
"The tenant has no right to terminate this agreement early.",High
"The tenant waives all statutory protections available under law.",High
"IN WITNESS WHEREOF the parties have signed this agreement on the date written above.",Low
"Signed and delivered by the lessor in the presence of witnesses.",Low
"Signed and delivered by the lessee in the presence of witnesses.",Low
"The schedule above referred to describes the property and premises.",Low
"The parties have put their respective hands to this agreement.",Low
"This agreement is executed in duplicate by both parties.",Low
"The lessor and lessee have signed the original and duplicate copies.",Low
"The witnesses have signed this agreement in the presence of the parties.",Low
"WHEREAS the lessor is entitled to grant a lease of the premises.",Low
"WHEREAS the parties desire to record the terms of the lease.",Low
"This deed witnesseth the agreement between the lessor and the lessee.",Low
"The date of signing of the agreement shall be written above.",Low
"The names and addresses of the parties are recorded in this agreement.",Low
"The schedule attached hereto forms part of this agreement.",Low
"The premises are described in the schedule written below.",Low
"The tenant may renew this lease only if written notice is given before the expiry date.",Medium
"The landlord may refuse renewal if the tenant has breached payment obligations.",Medium
"The tenant shall pay utility charges separately from monthly rent.",Medium
"The landlord may recover repair costs caused by tenant misuse.",Medium
"The tenant shall obtain consent before installing equipment or fixtures.",Medium
"The tenant shall provide access for inspection after reasonable written notice.",Medium
"The agreement may be suspended if either party fails to perform material obligations.",Medium
"The tenant shall pay reasonable administrative charges for late documentation.",Medium
"The landlord may deduct repair costs from the security deposit after notice.",Medium
"The tenant shall comply with society, municipal, and building regulations.",Medium
"The tenant shall not transfer possession without prior written approval.",Medium
"The tenant shall give thirty days notice before ending the lease.",Medium
"The landlord may terminate the lease after written notice of default.",Medium
"The tenant shall cure any breach within fifteen days after receiving notice.",Medium
"The landlord may charge interest on overdue rent at the rate stated in the agreement.",Medium
"The tenant shall maintain insurance if required by the landlord.",Medium
"The parties shall first attempt mediation before arbitration or court proceedings.",Medium
"The tenant shall return keys and possession on the expiry date.",Medium
"The landlord may inspect the property to verify repairs and maintenance.",Medium
"The tenant shall not alter the structure without prior written permission.",Medium
